,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
208,1713147,0.01,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,6,3,3,10,299.0,4,101,True,0,0,4.75,False,49.84,1196.0,0.08,0.22,0.26,4.99,0.021917808219178082,1495.0
209,1723463,0.0,False,Watergraafsmeer,52.34,4.938,Entire home/apt,4,2,2,15,200.0,5,21,True,0,0,4.91,False,50.0,1000.0,0.07,0.15,0.22,4.99,0.4246575342465753,1000.0
210,1727103,0.0,False,De Pijp - Rivierenbuurt,52.34,4.91,Entire home/apt,4,2,2,9,175.0,3,101,True,0,0,4.91,False,43.75,525.0,0.09,0.2,0.22,4.99,0.0,1233.4246575342465
211,1731246,0.0,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,2,5,273.0,3,101,True,2,0,4.95,False,68.25,819.0,0.09,0.23,0.28,4.99,0.07945205479452055,1121.849315068493
212,1733772,0.56,True,Oud-Noord,52.38,4.938,Entire home/apt,2,1,1,6,180.0,3,14,True,0,0,4.83,True,90.0,540.0,0.07,0.1,0.17,4.99,0.14520547945205478,900.0
213,1734564,0.51,False,Centrum-West,52.38,4.89,Entire home/apt,2,1,1,12,229.0,3,101,True,0,3,4.82,False,114.5,687.0,0.07,0.12,0.21,4.99,0.00821917808219178,1145.0
214,1734769,1.0,False,Geuzenveld - Slotermeer,52.38,4.836,Entire home/apt,4,2,2,10,245.0,5,30,True,0,0,4.85,False,61.25,1225.0,0.08,0.25,0.21,4.99,0.07945205479452055,1855.13698630137
215,1766570,0.83,False,Centrum-Oost,52.38,4.887,Entire home/apt,4,2,2,18,332.0,7,-76,True,5,0,4.5,False,83.0,2324.0,0.09,0.25,0.25,4.99,0.1178082191780822,1595.4109589041095
216,1771760,1.0,False,Bos en Lommer,52.38,4.85,Private room,2,1,1,5,82.0,4,21,True,0,1,4.8,False,41.0,328.0,0.06,0.07,0.16,4.99,0.0,355.1095890410959
217,1792271,0.52,False,Westerpark,52.38,4.87,Entire home/apt,2,1,1,7,150.0,4,4,True,0,1,4.97,False,75.0,600.0,0.07,0.2,0.21,4.99,0.0,750.6849315068494
